pdf	median
0.0002300944	3639321.247770
0.0002298252	3648018.425652
0.0002295565	3656725.786329
0.0002292885	3665443.330772
0.0002290211	3674171.059954
0.0002287543	3682908.974854
0.0002284880	3691657.076451
0.0002282224	3700415.365728
0.0002279574	3709183.843672
0.0002276929	3717962.511271
0.0002274290	3726751.369516
0.0002271657	3735550.419402
0.0002269030	3744359.661927
0.0002266409	3753179.098090
0.0002263794	3762008.728895
0.0002261184	3770848.555346
0.0002258580	3779698.578453
0.0002255982	3788558.799227
0.0002253390	3797429.218682
0.0002250803	3806309.837835
0.0002248222	3815200.657706
0.0002245647	3824101.679317
0.0002243077	3833012.903694
0.0002240513	3841934.331863
0.0002237954	3850865.964857
0.0002235401	3859807.803708
0.0002232854	3868759.849452
0.0002230312	3877722.103130
0.0002227775	3886694.565781
0.0002225245	3895677.238450
0.0002222719	3904670.122185
0.0002220199	3913673.218035
0.0002217685	3922686.527052
0.0002215176	3931710.050292
0.0002212672	3940743.788811
0.0002210174	3949787.743672
0.0002207681	3958841.915935
0.0002205194	3967906.306668
0.0002202711	3976980.916938
0.0002200235	3986065.747816
0.0002197763	3995160.800377
0.0002195297	4004266.075695
0.0002192836	4013381.574850
0.0002190380	4022507.298923
0.0002187930	4031643.248998
0.0002185484	4040789.426162
0.0002183044	4049945.831504
0.0002180609	4059112.466115
0.0002178180	4068289.331090
0.0002175755	4077476.427525
0.0002173336	4086673.756520
0.0002170921	4095881.319177
0.0002168512	4105099.116601
0.0002166108	4114327.149897
0.0002163709	4123565.420176
0.0002161315	4132813.928550
0.0002158926	4142072.676134
0.0002156542	4151341.664043
0.0002154163	4160620.893399
0.0002151789	4169910.365323
0.0002149420	4179210.080938
0.0002147056	4188520.041374
0.0002144697	4197840.247758
0.0002142342	4207170.701223
0.0002139993	4216511.402904
0.0002137649	4225862.353936
0.0002135309	4235223.555460
0.0002132974	4244595.008616
0.0002130645	4253976.714550
0.0002128319	4263368.674408
0.0002125999	4272770.889338
0.0002123684	4282183.360493
0.0002121373	4291606.089026
0.0002119067	4301039.076092
0.0002116766	4310482.322852
0.0002114470	4319935.830466
0.0002112178	4329399.600096
0.0002109891	4338873.632910
0.0002107609	4348357.930075
0.0002105331	4357852.492761
0.0002103058	4367357.322142
0.0002100790	4376872.419393
0.0002098526	4386397.785691
0.0002096267	4395933.422216
0.0002094012	4405479.330150
0.0002091762	4415035.510678
0.0002089517	4424601.964987
0.0002087276	4434178.694266
0.0002085040	4443765.699707
0.0002082808	4453362.982502
0.0002080581	4462970.543849
0.0002078358	4472588.384946
0.0002076140	4482216.506993
0.0002073926	4491854.911194
0.0002071717	4501503.598753
0.0002069512	4511162.570879
0.0002067312	4520831.828780
0.0002065116	4530511.373669
0.0002062924	4540201.206761
0.0002060737	4549901.329271
0.0002058554	4559611.742419
0.0002056376	4569332.447426
0.0002054201	4579063.445514
0.0002052032	4588804.737910
0.0002049866	4598556.325841
0.0002047705	4608318.210536
0.0002045548	4618090.393229
0.0002043396	4627872.875153
0.0002041247	4637665.657544
0.0002039103	4647468.741643
0.0002036963	4657282.128688
0.0002034828	4667105.819925
0.0002032696	4676939.816597
0.0002030569	4686784.119952
0.0002028446	4696638.731240
0.0002026327	4706503.651712
0.0002024213	4716378.882623
0.0002022102	4726264.425228
0.0002019996	4736160.280786
0.0002017894	4746066.450557
0.0002015795	4755982.935804
0.0002013701	4765909.737791
0.0002011611	4775846.857784
0.0002009526	4785794.297054
0.0002007444	4795752.056870
0.0002005366	4805720.138506
0.0002003292	4815698.543236
0.0002001223	4825687.272339
0.0001999157	4835686.327094
0.0001997095	4845695.708782
0.0001995038	4855715.418686
0.0001992984	4865745.458093
0.0001990934	4875785.828289
0.0001988889	4885836.530566
0.0001986847	4895897.566214
0.0001984809	4905968.936527
0.0001982775	4916050.642803
0.0001980745	4926142.686337
0.0001978719	4936245.068431
0.0001976697	4946357.790387
0.0001974678	4956480.853509
0.0001972664	4966614.259102
0.0001970653	4976758.008476
0.0001968646	4986912.102940
0.0001966643	4997076.543807
0.0001964644	5007251.332391
0.0001962649	5017436.470008
0.0001960657	5027631.957976
0.0001958669	5037837.797616
0.0001956685	5048053.990250
0.0001954705	5058280.537202
0.0001952728	5068517.439799
0.0001950756	5078764.699368
0.0001948787	5089022.317241
0.0001946821	5099290.294748
0.0001944860	5109568.633225
0.0001942902	5119857.334007
0.0001940948	5130156.398432
0.0001938997	5140465.827841
0.0001937050	5150785.623575
0.0001935107	5161115.786978
0.0001933167	5171456.319396
0.0001931231	5181807.222178
0.0001929299	5192168.496672
0.0001927370	5202540.144231
0.0001925445	5212922.166207
0.0001923524	5223314.563957
0.0001921606	5233717.338838
0.0001919691	5244130.492208
0.0001917781	5254554.025431
0.0001915873	5264987.939868
0.0001913970	5275432.236884
0.0001912069	5285886.917847
0.0001910173	5296351.984126
0.0001908279	5306827.437091
0.0001906390	5317313.278114
0.0001904504	5327809.508571
0.0001902621	5338316.129837
0.0001900742	5348833.143291
0.0001898866	5359360.550313
0.0001896994	5369898.352284
0.0001895125	5380446.550590
0.0001893259	5391005.146615
0.0001891397	5401574.141746
0.0001889539	5412153.537374
0.0001887683	5422743.334889
0.0001885832	5433343.535685
0.0001883983	5443954.141156
0.0001882138	5454575.152700
0.0001880296	5465206.571714
0.0001878458	5475848.399599
0.0001876623	5486500.637757
0.0001874791	5497163.287592
0.0001872963	5507836.350510
0.0001871138	5518519.827919
0.0001869316	5529213.721229
0.0001867498	5539918.031849
0.0001865683	5550632.761194
0.0001863871	5561357.910677
0.0001862062	5572093.481717
0.0001860257	5582839.475731
0.0001858455	5593595.894139
0.0001856656	5604362.738363
0.0001854860	5615140.009827
0.0001853068	5625927.709957
0.0001851279	5636725.840179
0.0001849493	5647534.401924
0.0001847710	5658353.396620
0.0001845930	5669182.825702
0.0001844154	5680022.690604
0.0001842381	5690872.992760
0.0001840611	5701733.733610
0.0001838844	5712604.914593
0.0001837080	5723486.537150
0.0001835319	5734378.602723
0.0001833562	5745281.112759
0.0001831807	5756194.068702
0.0001830056	5767117.472002
0.0001828308	5778051.324109
0.0001826563	5788995.626473
0.0001824821	5799950.380549
0.0001823082	5810915.587790
0.0001821346	5821891.249655
0.0001819614	5832877.367602
0.0001817884	5843873.943090
0.0001816157	5854880.977581
0.0001814434	5865898.472540
0.0001812713	5876926.429431
0.0001810995	5887964.849721
0.0001809281	5899013.734879
0.0001807569	5910073.086376
